Dates,ACMESIE LX Equity,RCMSTYL LX Equity,ALEPTEU LX Equity,AEEI2EC LX Equity,CAIXEIA LX Equity,AXWEOFC LX Equity,AXWECEI LX Equity,MEREMAI LX Equity,ETDD FP Equity,CSEMICE LX Equity,CSESDBEL LX Equity,CSIEEDE LX Equity,PAMEULF BB Equity,DIICEIC LX Equity,DWSTEFC LX Equity,STHOPMI FP Equity,FIDFEBI LX Equity,FJ2C GR Equity,GEQ50AD LX Equity,HSBEURQ LX Equity,HSBCLGI LX Equity,BGEURAX LX Equity,HENEUDI LX Equity,JPEDCAC LX Equity,FLEEUEC LX Equity,SGEURIE LX Equity,METVSRI FP Equity,MEZEI1E ID Equity,NATISRI LX Equity,MOREFAI LX Equity,INGEHDI LX Equity,PIPTFEI LX Equity,SIEEACE LX Equity,SSEIIEU LX Equity,SSGFESI LX Equity,TEMGRIA LX Equity,UBSEITL LX Equity,UECIEQD LX Equity,UGEURSA LX Equity,VANESII ID Equity
07/09/2018,28.87,11.69,1159.86,9.07,1803.72,77.75,242.72,28.68,8.684,1175.28,972.5,1124.24,202.19,288.19,222.21,223.26,22.04,10.125,114.19,41.017,18.788,106.58,47.38,137.13,24.06,1449.9259,310.27,206,72713.7,12.56,627.48,188.51,97.3241,12.2895,9.97,21.97,100.45,89.92,1168.42,194.1845
10/09/2018,29.05,11.74,1164.39,9.1,1811.62,78.09,244.57,28.89,8.731,1183.85,972.7,1129.96,203.29,289.92,224.67,225.16,22.24,10.116,114.7,41.412,18.91,106.26,47.84,138.18,24.27,1457.6098,312.97,206.72,73161.27,12.64,633.04,189.32,97.0784,12.352,10.02,22.05,100.87,90.35,1171.11,195.468
11/09/2018,29.29,11.74,1167.91,9.1,1810.49,78.21,244.65,28.83,8.737,1182.67,977.9,1129.68,203.94,288.46,224.25,225.35,22.2,10.169,114.83,41.195,18.849,106.81,47.86,137.75,24.18,1457.9154,313.4,207.04,73073.69,12.61,632.42,189.2,97.1078,12.3487,10,22.14,101.2,90.27,1172.66,195.4157
12/09/2018,29.37,11.83,1175.86,9.13,1818.75,78.68,246.08,28.97,8.778,1187.8,979.5,1134.62,204.39,290.03,225.3,227.12,22.26,10.192,115.4,41.369,18.897,106.77,48.11,138.9,24.37,1464.8358,314.97,208.19,73337.11,12.66,633.39,190.07,97.2096,12.4027,10.04,22.18,101.81,90.51,1175.08,196.2723
13/09/2018,29.37,11.86,1176.99,9.17,1817.1,78.93,246.11,29.13,8.801,1188.49,983.8,1135.06,203.9,291.61,225.87,226.59,22.16,10.241,115.61,41.583,18.88,107.2,48.17,139.13,24.39,1464.0039,314.28,208.11,73294.88,12.66,633.7,189.9,97.5272,12.4259,10.02,22.11,101.38,90.09,1173.26,196.3441
14/09/2018,29.45,11.86,1175.39,9.22,1823.14,79.28,247.38,29.16,8.822,1193.72,984.3,1139.93,205.34,292.27,226.05,227.76,22.31,10.254,116.02,41.786,18.999,107.13,48.2,139.2,24.43,1470.3797,315.04,208.74,73511.91,12.66,636.61,190.53,97.247,12.4605,10.06,22.2,101.76,90.47,1178.14,196.8911
17/09/2018,29.46,11.89,1177.51,9.23,1825.26,79.04,247.85,29.09,8.83,1193.96,986.9,1140.25,205.39,291.88,225.77,227.7,22.36,10.227,116.07,41.844,18.977,107.28,48.34,139.09,24.43,1471.0805,316.65,208.75,73559.63,12.66,637.6,190.75,96.7867,12.4637,10.1,22.22,101.65,90.67,1178.53,197.235
18/09/2018,29.62,11.92,1176.46,9.28,1827.53,79.27,249.4,29.12,8.858,1197.08,986.7,1144.76,206.5,292.46,226.39,228.45,22.52,10.321,116.48,42.148,18.993,107.45,48.37,139.42,24.46,1477.0279,318.59,209.31,73741.78,12.67,640.81,190.98,97.0275,12.5314,10.16,22.31,101.7,90.81,1181.9,198.0146
19/09/2018,29.83,11.95,1179.51,9.32,1834.45,79.77,250.68,29.19,8.885,1199.44,990.7,1148.35,206.93,293.93,226.62,228.42,22.59,10.332,116.86,42.334,19.008,107.59,48.62,139.99,24.54,1481.3635,320.46,210.29,73905.67,12.73,642.25,191.69,97.4645,12.5518,10.25,22.39,101.67,90.67,1180.42,198.3362
20/09/2018,30.02,12.01,1179.37,9.41,1847.76,80.27,252.26,29.28,8.988,1208.26,992.2,1157.45,207.9,296.96,227.42,229.49,22.73,10.435,118.16,42.763,19.145,107.8,49.03,140.57,24.69,1492.5364,322.63,211.28,74402.3,12.81,646.28,193.08,97.4127,12.6511,10.33,22.52,102.02,91.02,1185.56,200.2053
